Nombre;Descripcion
Bases de Datos PostgreSQL - Grupo 1;Clase intensiva enfocada en el aprendizaje practico. Edicion 1.
Diseno UX/UI - Grupo 2;Clase intensiva enfocada en el aprendizaje practico. Edicion 2.
Arquitectura .NET - Grupo 3;Clase intensiva enfocada en el aprendizaje practico. Edicion 3.
Bases de Datos PostgreSQL - Grupo 4;Clase intensiva enfocada en el aprendizaje practico. Edicion 4.
Bases de Datos PostgreSQL - Grupo 5;Clase intensiva enfocada en el aprendizaje practico. Edicion 5.
Desarrollo en C# - Grupo 6;Clase intensiva enfocada en el aprendizaje practico. Edicion 6.
Diseno UX/UI - Grupo 7;Clase intensiva enfocada en el aprendizaje practico. Edicion 7.
Frontend con React - Grupo 8;Clase intensiva enfocada en el aprendizaje practico. Edicion 8.
Bases de Datos PostgreSQL - Grupo 9;Clase intensiva enfocada en el aprendizaje practico. Edicion 9.
Diseno UX/UI - Grupo 10;Clase intensiva enfocada en el aprendizaje practico. Edicion 10.
DevOps y Cloud - Grupo 11;Clase intensiva enfocada en el aprendizaje practico. Edicion 11.
DevOps y Cloud - Grupo 12;Clase intensiva enfocada en el aprendizaje practico. Edicion 12.
Bases de Datos PostgreSQL - Grupo 13;Clase intensiva enfocada en el aprendizaje practico. Edicion 13.
Desarrollo en C# - Grupo 14;Clase intensiva enfocada en el aprendizaje practico. Edicion 14.
Bases de Datos PostgreSQL - Grupo 15;Clase intensiva enfocada en el aprendizaje practico. Edicion 15.
DevOps y Cloud - Grupo 16;Clase intensiva enfocada en el aprendizaje practico. Edicion 16.
Arquitectura .NET - Grupo 17;Clase intensiva enfocada en el aprendizaje practico. Edicion 17.
Arquitectura .NET - Grupo 18;Clase intensiva enfocada en el aprendizaje practico. Edicion 18.
Desarrollo en C# - Grupo 19;Clase intensiva enfocada en el aprendizaje practico. Edicion 19.
Diseno UX/UI - Grupo 20;Clase intensiva enfocada en el aprendizaje practico. Edicion 20.
Desarrollo en C# - Grupo 21;Clase intensiva enfocada en el aprendizaje practico. Edicion 21.
Frontend con React - Grupo 22;Clase intensiva enfocada en el aprendizaje practico. Edicion 22.
Bases de Datos PostgreSQL - Grupo 23;Clase intensiva enfocada en el aprendizaje practico. Edicion 23.
Diseno UX/UI - Grupo 24;Clase intensiva enfocada en el aprendizaje practico. Edicion 24.
Frontend con React - Grupo 25;Clase intensiva enfocada en el aprendizaje practico. Edicion 25.
Frontend con React - Grupo 26;Clase intensiva enfocada en el aprendizaje practico. Edicion 26.
Frontend con React - Grupo 27;Clase intensiva enfocada en el aprendizaje practico. Edicion 27.
Desarrollo en C# - Grupo 28;Clase intensiva enfocada en el aprendizaje practico. Edicion 28.
Diseno UX/UI - Grupo 29;Clase intensiva enfocada en el aprendizaje practico. Edicion 29.
Desarrollo en C# - Grupo 30;Clase intensiva enfocada en el aprendizaje practico. Edicion 30.
Frontend con React - Grupo 31;Clase intensiva enfocada en el aprendizaje practico. Edicion 31.
Desarrollo en C# - Grupo 32;Clase intensiva enfocada en el aprendizaje practico. Edicion 32.
Bases de Datos PostgreSQL - Grupo 33;Clase intensiva enfocada en el aprendizaje practico. Edicion 33.
Arquitectura .NET - Grupo 34;Clase intensiva enfocada en el aprendizaje practico. Edicion 34.
Desarrollo en C# - Grupo 35;Clase intensiva enfocada en el aprendizaje practico. Edicion 35.
Arquitectura .NET - Grupo 36;Clase intensiva enfocada en el aprendizaje practico. Edicion 36.
Diseno UX/UI - Grupo 37;Clase intensiva enfocada en el aprendizaje practico. Edicion 37.
Desarrollo en C# - Grupo 38;Clase intensiva enfocada en el aprendizaje practico. Edicion 38.
Diseno UX/UI - Grupo 39;Clase intensiva enfocada en el aprendizaje practico. Edicion 39.
Frontend con React - Grupo 40;Clase intensiva enfocada en el aprendizaje practico. Edicion 40.
Bases de Datos PostgreSQL - Grupo 41;Clase intensiva enfocada en el aprendizaje practico. Edicion 41.
Desarrollo en C# - Grupo 42;Clase intensiva enfocada en el aprendizaje practico. Edicion 42.
Desarrollo en C# - Grupo 43;Clase intensiva enfocada en el aprendizaje practico. Edicion 43.
Diseno UX/UI - Grupo 44;Clase intensiva enfocada en el aprendizaje practico. Edicion 44.
Bases de Datos PostgreSQL - Grupo 45;Clase intensiva enfocada en el aprendizaje practico. Edicion 45.
DevOps y Cloud - Grupo 46;Clase intensiva enfocada en el aprendizaje practico. Edicion 46.
Diseno UX/UI - Grupo 47;Clase intensiva enfocada en el aprendizaje practico. Edicion 47.
Arquitectura .NET - Grupo 48;Clase intensiva enfocada en el aprendizaje practico. Edicion 48.
Diseno UX/UI - Grupo 49;Clase intensiva enfocada en el aprendizaje practico. Edicion 49.
DevOps y Cloud - Grupo 50;Clase intensiva enfocada en el aprendizaje practico. Edicion 50.
Bases de Datos PostgreSQL - Grupo 51;Clase intensiva enfocada en el aprendizaje practico. Edicion 51.
Bases de Datos PostgreSQL - Grupo 52;Clase intensiva enfocada en el aprendizaje practico. Edicion 52.
Desarrollo en C# - Grupo 53;Clase intensiva enfocada en el aprendizaje practico. Edicion 53.
Arquitectura .NET - Grupo 54;Clase intensiva enfocada en el aprendizaje practico. Edicion 54.
Diseno UX/UI - Grupo 55;Clase intensiva enfocada en el aprendizaje practico. Edicion 55.
Frontend con React - Grupo 56;Clase intensiva enfocada en el aprendizaje practico. Edicion 56.
Arquitectura .NET - Grupo 57;Clase intensiva enfocada en el aprendizaje practico. Edicion 57.
